epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1144,1.67872,4.27796,1.49889,0.00446,0.125,0.02068,0.0049,1.30955,4.05154,1.5679,2.499e-05,2.499e-05,2.499e-05
2,3.45868,1.57589,4.18655,1.45026,0.005,0.125,0.01294,0.00845,1.02749,3.92573,1.27351,5.81451e-05,5.81451e-05,5.81451e-05
3,4.74672,1.31519,4.01331,1.25162,0.0061,0.125,0.10354,0.08501,0.81836,3.87475,1.1035,9.11116e-05,9.11116e-05,9.11116e-05
4,5.96007,1.17175,3.64405,1.11546,0.02188,0.625,0.39056,0.31655,0.82642,3.52295,0.92788,0.00012389,0.00012389,0.00012389
5,7.11583,1.12204,3.25855,1.04442,0.02556,0.75,0.41264,0.34642,0.7934,3.39912,0.88541,0.000156479,0.000156479,0.000156479
6,8.26026,1.13573,2.98338,1.05625,0.02296,0.75,0.38213,0.32704,0.73394,3.23956,0.86063,0.00018888,0.00018888,0.00018888
7,9.41679,1.07384,2.60966,1.02603,0.18409,0.75,0.5492,0.46924,0.74848,2.97448,0.86468,0.000221093,0.000221093,0.000221093
8,10.5875,1.03154,2.33012,1.02228,0.72969,0.375,0.64608,0.53552,0.75928,2.71325,0.88899,0.000253117,0.000253117,0.000253117
9,11.739,1.01645,2.03554,1.02447,0.7249,0.55858,0.685,0.55169,0.78965,2.60378,0.90328,0.000284953,0.000284953,0.000284953
10,12.8816,0.98918,1.80083,0.99861,0.79511,0.5,0.7987,0.67144,0.69197,2.54396,0.86555,0.0003166,0.0003166,0.0003166
11,14.0637,0.98345,1.58481,1.00715,0.79511,0.42557,0.75915,0.63849,0.68428,2.48658,0.87102,0.000348058,0.000348058,0.000348058
12,15.237,0.9789,1.52884,0.98609,0.95109,0.37039,0.78216,0.64776,0.70991,2.2889,0.87027,0.000379328,0.000379328,0.000379328
13,16.4014,0.95166,1.414,0.98942,0.64188,0.625,0.73454,0.62136,0.70099,2.11321,0.85757,0.00041041,0.00041041,0.00041041
14,17.6011,0.92941,1.31964,0.97502,0.60911,0.625,0.70553,0.58112,0.69425,2.07334,0.85911,0.000441303,0.000441303,0.000441303
15,18.8234,0.88117,1.20959,0.97749,0.62292,0.625,0.78975,0.6707,0.65744,1.95267,0.87048,0.000472008,0.000472008,0.000472008
16,19.9449,0.88343,1.18578,0.97295,0.74926,0.5992,0.91198,0.78603,0.62504,1.74504,0.8684,0.000502524,0.000502524,0.000502524
17,21.1064,0.88167,1.13544,0.94598,0.60616,0.81185,0.93281,0.81942,0.65074,1.59687,0.86305,0.000532852,0.000532852,0.000532852
18,22.3046,0.89549,1.11518,0.95782,0.65232,0.93624,0.995,0.82907,0.77279,1.28626,0.87653,0.000562991,0.000562991,0.000562991
19,23.4797,0.85846,1.0518,0.95802,0.6974,0.93235,0.995,0.86606,0.68502,1.23914,0.85339,0.000592941,0.000592941,0.000592941
20,24.6261,0.84817,1.06104,0.94863,0.78175,0.74183,0.995,0.86986,0.6186,1.35577,0.8464,0.000622703,0.000622703,0.000622703
21,25.7851,0.83229,1.04475,0.94622,0.79287,0.81609,0.97417,0.78386,0.78917,1.46252,0.91594,0.000652277,0.000652277,0.000652277
22,26.9983,0.8252,0.97821,0.95376,0.78074,0.83866,0.97417,0.78476,0.85251,1.31672,0.97806,0.000681662,0.000681662,0.000681662
23,28.2585,0.80795,0.96742,0.93448,0.80445,0.83097,0.995,0.84585,0.72555,0.95622,0.90371,0.000710859,0.000710859,0.000710859
24,29.4356,0.78714,0.94878,0.93354,0.83019,0.84631,0.995,0.84831,0.70569,0.91958,0.88073,0.000739867,0.000739867,0.000739867
25,30.5941,0.81868,0.91354,0.94012,0.71856,0.9447,0.995,0.80377,0.77045,0.95294,0.91107,0.000768687,0.000768687,0.000768687
26,31.7298,0.81294,0.90751,0.94221,0.73962,0.82261,0.995,0.83247,0.73444,1.00589,0.89887,0.000774095,0.000774095,0.000774095
27,32.8658,0.8035,0.88221,0.93229,0.74002,0.93341,0.995,0.87922,0.5695,0.91757,0.84533,0.000771739,0.000771739,0.000771739
28,34.0294,0.82977,0.87985,0.95059,0.77223,0.94567,0.995,0.87103,0.57792,0.91645,0.84751,0.000769383,0.000769383,0.000769383
29,35.142,0.77701,0.86468,0.93113,0.80501,0.93389,0.995,0.8188,0.75307,0.98079,0.91192,0.000767026,0.000767026,0.000767026
30,36.2857,0.80291,0.81971,0.93806,0.86904,0.9262,0.995,0.84538,0.71683,0.95459,0.88758,0.00076467,0.00076467,0.00076467
31,37.4883,0.78369,0.81924,0.93864,0.82143,0.9308,0.995,0.86314,0.59188,0.85557,0.84665,0.000762314,0.000762314,0.000762314
32,39.0162,0.75742,0.81058,0.92869,0.86936,0.92851,0.995,0.8637,0.58864,0.81223,0.83851,0.000759958,0.000759958,0.000759958
33,40.317,0.76591,0.81372,0.93623,0.87177,0.96148,0.995,0.83673,0.63539,0.85968,0.8477,0.000757602,0.000757602,0.000757602
34,41.652,0.74771,0.76252,0.91581,0.77292,1,0.995,0.80941,0.72798,0.89993,0.88734,0.000755245,0.000755245,0.000755245
35,43.413,0.75198,0.75628,0.92081,0.81483,0.99987,0.995,0.8281,0.67601,0.80119,0.88769,0.000752889,0.000752889,0.000752889
36,44.7176,0.754,0.79498,0.92977,0.92915,0.97185,0.995,0.85632,0.62565,0.7172,0.86832,0.000750533,0.000750533,0.000750533
37,45.9278,0.7359,0.75648,0.93243,0.92275,0.96815,0.995,0.86562,0.6762,0.6701,0.87565,0.000748177,0.000748177,0.000748177
38,47.2419,0.78502,0.80647,0.94068,0.91956,0.96366,0.995,0.81599,0.7718,0.68238,0.91441,0.000745821,0.000745821,0.000745821
39,48.5645,0.75733,0.77495,0.93307,0.9114,0.97361,0.995,0.85641,0.72752,0.68709,0.9076,0.000743464,0.000743464,0.000743464
40,49.8112,0.71446,0.70855,0.90986,0.88026,0.98885,0.995,0.85642,0.68705,0.6742,0.8791,0.000741108,0.000741108,0.000741108
41,51.0335,0.71857,0.73138,0.909,0.86969,0.97861,0.995,0.8561,0.64931,0.70934,0.86467,0.000738752,0.000738752,0.000738752
42,52.2464,0.73327,0.74028,0.91902,0.8258,0.98081,0.995,0.86776,0.61458,0.70615,0.85519,0.000736396,0.000736396,0.000736396
43,53.4549,0.73763,0.72286,0.92894,0.83498,0.9919,0.995,0.86775,0.6309,0.63709,0.86267,0.00073404,0.00073404,0.00073404
44,54.7235,0.7142,0.73128,0.93563,0.88805,0.99594,0.995,0.87394,0.6072,0.55999,0.8549,0.000731683,0.000731683,0.000731683
45,56.0547,0.69875,0.71677,0.90894,0.92552,1,0.995,0.86158,0.6001,0.55993,0.85041,0.000729327,0.000729327,0.000729327
46,57.315,0.70205,0.71884,0.91849,0.91092,0.98275,0.995,0.85426,0.62929,0.59718,0.86734,0.000726971,0.000726971,0.000726971
47,58.6104,0.67387,0.70289,0.90184,0.92387,0.95192,0.995,0.86981,0.61466,0.6156,0.85889,0.000724615,0.000724615,0.000724615
48,59.7558,0.68789,0.70329,0.91744,0.86752,0.95602,0.995,0.87718,0.60951,0.62098,0.84658,0.000722259,0.000722259,0.000722259
49,60.8961,0.694,0.68928,0.90293,0.84046,0.94765,0.995,0.86359,0.6178,0.60955,0.8493,0.000719902,0.000719902,0.000719902
50,62.0627,0.6482,0.66634,0.90027,0.85177,0.91993,0.995,0.86981,0.6201,0.66115,0.85564,0.000717546,0.000717546,0.000717546
51,63.2343,0.70272,0.6815,0.91101,0.88202,0.90812,0.995,0.88537,0.60771,0.67154,0.8473,0.00071519,0.00071519,0.00071519
52,64.5631,0.64124,0.64579,0.89583,0.90456,0.90621,0.995,0.88126,0.6076,0.65079,0.83718,0.000712834,0.000712834,0.000712834
53,66.2327,0.6463,0.65388,0.89726,0.89183,0.91298,0.995,0.86579,0.62511,0.61738,0.84081,0.000710478,0.000710478,0.000710478
54,67.5126,0.63851,0.6392,0.89013,0.8935,0.91167,0.995,0.86462,0.59415,0.59029,0.84132,0.000708121,0.000708121,0.000708121
55,68.7793,0.64377,0.67341,0.89867,0.87796,0.91785,0.995,0.86361,0.61922,0.60082,0.85533,0.000705765,0.000705765,0.000705765
56,70.0178,0.64876,0.6467,0.89166,0.87284,0.9278,0.995,0.88233,0.59311,0.58565,0.83855,0.000703409,0.000703409,0.000703409
57,71.1621,0.63641,0.63816,0.88687,0.87186,0.94095,0.995,0.90405,0.56961,0.5585,0.83623,0.000701053,0.000701053,0.000701053
58,72.4439,0.62902,0.63226,0.89376,0.87105,0.96984,0.995,0.86267,0.58674,0.5313,0.84033,0.000698697,0.000698697,0.000698697
59,73.7546,0.64509,0.64916,0.89116,0.90442,0.98141,0.995,0.86364,0.57785,0.49845,0.84035,0.00069634,0.00069634,0.00069634
60,74.9301,0.63775,0.63758,0.9045,0.95557,0.97731,0.995,0.87913,0.53393,0.47161,0.83106,0.000693984,0.000693984,0.000693984
61,76.2545,0.62356,0.60633,0.87228,0.9706,0.96828,0.995,0.88848,0.5814,0.4746,0.84794,0.000691628,0.000691628,0.000691628
62,77.5122,0.60274,0.62426,0.89251,0.96424,0.96399,0.995,0.84087,0.71359,0.50488,0.91196,0.000689272,0.000689272,0.000689272
63,78.6986,0.65004,0.61178,0.88796,0.94529,0.96598,0.995,0.83351,0.74634,0.53666,0.93629,0.000686916,0.000686916,0.000686916
64,79.9367,0.60901,0.60932,0.88019,0.95285,0.96719,0.995,0.85526,0.6952,0.54105,0.89815,0.000684559,0.000684559,0.000684559
65,81.1273,0.61611,0.61488,0.88009,0.96689,0.96293,0.995,0.84086,0.70572,0.54328,0.89854,0.000682203,0.000682203,0.000682203
66,82.3647,0.63144,0.60344,0.88467,0.92515,0.96822,0.995,0.82221,0.77305,0.56807,0.92669,0.000679847,0.000679847,0.000679847
67,83.5019,0.60152,0.60237,0.88539,0.87244,0.97838,0.995,0.82806,0.7474,0.5785,0.90867,0.000677491,0.000677491,0.000677491
68,84.7348,0.58785,0.60552,0.87675,0.83437,0.99503,0.995,0.85841,0.65081,0.58712,0.86281,0.000675135,0.000675135,0.000675135
69,85.906,0.56891,0.59937,0.87562,0.84857,0.99783,0.995,0.8708,0.62259,0.56892,0.84461,0.000672778,0.000672778,0.000672778
70,87.0965,0.5808,0.58282,0.86274,0.90248,0.9743,0.995,0.83459,0.68973,0.55015,0.86661,0.000670422,0.000670422,0.000670422
71,88.2224,0.58926,0.60055,0.88849,0.94843,0.96261,0.995,0.85014,0.66872,0.51704,0.8635,0.000668066,0.000668066,0.000668066
72,89.422,0.55438,0.59124,0.87471,0.94422,1,0.995,0.88758,0.58907,0.48997,0.84662,0.00066571,0.00066571,0.00066571
73,90.654,0.57999,0.58617,0.86467,0.92939,1,0.995,0.87167,0.60966,0.48757,0.8593,0.000663354,0.000663354,0.000663354
74,91.817,0.56768,0.58172,0.88419,0.93089,0.99681,0.995,0.86893,0.62885,0.48236,0.87557,0.000660997,0.000660997,0.000660997
75,92.9477,0.5575,0.57704,0.87271,0.93629,1,0.995,0.85645,0.62679,0.47792,0.87106,0.000658641,0.000658641,0.000658641
76,94.1681,0.5437,0.54624,0.85919,0.94783,1,0.995,0.86995,0.60385,0.45215,0.85916,0.000656285,0.000656285,0.000656285
77,95.3502,0.56484,0.5661,0.86196,0.95366,1,0.995,0.84094,0.65807,0.46072,0.87823,0.000653929,0.000653929,0.000653929
78,96.5023,0.54431,0.56498,0.86456,0.94822,0.98868,0.995,0.82944,0.72558,0.46817,0.91474,0.000651573,0.000651573,0.000651573
79,97.6687,0.5573,0.55448,0.87351,0.95304,0.9881,0.995,0.85523,0.69214,0.45602,0.89284,0.000649216,0.000649216,0.000649216
80,98.8248,0.54622,0.55096,0.85687,0.96596,0.95811,0.995,0.86919,0.62667,0.44184,0.87028,0.00064686,0.00064686,0.00064686
81,100.013,0.56174,0.56531,0.87356,0.9546,0.95088,0.995,0.87607,0.62484,0.45371,0.87341,0.000644504,0.000644504,0.000644504
82,101.188,0.58016,0.59907,0.89512,0.9495,0.94097,0.995,0.87396,0.65126,0.4898,0.88531,0.000642148,0.000642148,0.000642148
83,102.367,0.56146,0.56897,0.85766,0.94714,0.93488,0.995,0.83998,0.65628,0.51825,0.88518,0.000639792,0.000639792,0.000639792
84,103.519,0.54449,0.55173,0.86409,0.95179,0.93253,0.995,0.86059,0.60678,0.50507,0.86564,0.000637435,0.000637435,0.000637435
85,104.688,0.56246,0.56495,0.87955,0.94601,0.94061,0.995,0.86681,0.5933,0.48073,0.85997,0.000635079,0.000635079,0.000635079
86,105.826,0.52354,0.54961,0.86536,0.93254,0.94272,0.995,0.85542,0.65052,0.49189,0.88061,0.000632723,0.000632723,0.000632723
87,107.024,0.55453,0.54447,0.86663,0.92509,0.94548,0.995,0.85547,0.66024,0.51119,0.89168,0.000630367,0.000630367,0.000630367
88,108.163,0.55102,0.56487,0.8711,0.93732,0.93996,0.995,0.85436,0.63082,0.5166,0.86564,0.000628011,0.000628011,0.000628011
89,109.325,0.52898,0.54529,0.85977,0.96132,0.93164,0.995,0.86061,0.62674,0.52974,0.85993,0.000625654,0.000625654,0.000625654
90,110.562,0.55431,0.55356,0.87014,0.9767,0.92719,0.995,0.8575,0.63358,0.5199,0.85841,0.000623298,0.000623298,0.000623298
91,111.822,0.53339,0.54305,0.8586,0.97416,0.92706,0.995,0.85846,0.64686,0.50365,0.86008,0.000620942,0.000620942,0.000620942
92,113.453,0.51757,0.53287,0.8576,0.96524,0.929,0.995,0.86666,0.62055,0.49068,0.85487,0.000618586,0.000618586,0.000618586
93,114.875,0.53133,0.53603,0.86663,0.96531,0.92905,0.995,0.84491,0.65806,0.49471,0.85982,0.00061623,0.00061623,0.00061623
94,116.22,0.53577,0.52681,0.86184,0.97135,0.92671,0.995,0.83256,0.6486,0.50896,0.8556,0.000613873,0.000613873,0.000613873
95,117.485,0.52592,0.52603,0.85666,0.96132,0.92786,0.995,0.87506,0.58521,0.49954,0.85058,0.000611517,0.000611517,0.000611517
96,118.887,0.50171,0.52522,0.8638,0.96396,0.92832,0.995,0.85632,0.63824,0.49824,0.86522,0.000609161,0.000609161,0.000609161
97,120.183,0.54376,0.5407,0.86389,0.95412,0.93381,0.995,0.8615,0.64412,0.49016,0.86205,0.000606805,0.000606805,0.000606805
98,121.353,0.51604,0.52449,0.85148,0.9605,0.93539,0.995,0.87092,0.59217,0.47265,0.8419,0.000604449,0.000604449,0.000604449
99,122.535,0.52334,0.52439,0.85058,0.96597,0.93683,0.995,0.87094,0.5926,0.4501,0.84655,0.000602092,0.000602092,0.000602092
100,123.711,0.50595,0.50195,0.84712,0.90646,1,0.995,0.86576,0.61408,0.44454,0.87531,0.000599736,0.000599736,0.000599736
101,124.898,0.52175,0.50231,0.83497,0.91623,1,0.995,0.85836,0.65065,0.45047,0.89029,0.00059738,0.00059738,0.00059738
102,126.08,0.51867,0.511,0.85915,0.90803,1,0.995,0.87541,0.62231,0.44647,0.86578,0.000595024,0.000595024,0.000595024
103,127.283,0.49688,0.49896,0.84239,0.97248,0.92855,0.995,0.87229,0.60412,0.44174,0.85155,0.000592668,0.000592668,0.000592668
104,128.429,0.48869,0.50095,0.84471,0.97642,0.92491,0.995,0.85522,0.64221,0.45234,0.86082,0.000590311,0.000590311,0.000590311
105,129.638,0.47079,0.49474,0.84902,0.97548,0.92732,0.995,0.86454,0.69339,0.46073,0.90561,0.000587955,0.000587955,0.000587955
106,130.799,0.47115,0.48861,0.84394,0.97666,0.93111,0.995,0.85101,0.69124,0.43878,0.89804,0.000585599,0.000585599,0.000585599
107,131.971,0.49782,0.51376,0.85222,0.91183,0.9851,0.995,0.87283,0.63025,0.42312,0.86197,0.000583243,0.000583243,0.000583243
108,133.132,0.48289,0.50323,0.85585,0.92118,0.99433,0.995,0.86676,0.59907,0.41742,0.85085,0.000580887,0.000580887,0.000580887
109,134.317,0.48319,0.49259,0.84946,0.92941,0.9998,0.995,0.86977,0.63179,0.41425,0.86328,0.00057853,0.00057853,0.00057853
110,135.466,0.51116,0.52082,0.84895,0.93281,1,0.995,0.86348,0.63914,0.41222,0.86773,0.000576174,0.000576174,0.000576174
111,136.704,0.47629,0.48659,0.83674,0.9433,1,0.995,0.86301,0.63735,0.41738,0.86521,0.000573818,0.000573818,0.000573818
112,137.925,0.47177,0.51956,0.86308,0.94966,0.99915,0.995,0.87223,0.6347,0.405,0.865,0.000571462,0.000571462,0.000571462
113,139.064,0.46173,0.48419,0.84054,0.94991,1,0.995,0.85663,0.63581,0.41091,0.86899,0.000569106,0.000569106,0.000569106
114,140.22,0.47758,0.50257,0.84961,0.94847,1,0.995,0.84603,0.64748,0.41452,0.87393,0.000566749,0.000566749,0.000566749
115,141.393,0.46519,0.47675,0.84616,0.94788,1,0.995,0.85227,0.6619,0.41969,0.892,0.000564393,0.000564393,0.000564393
116,142.569,0.4794,0.48929,0.84986,0.94864,1,0.995,0.85844,0.64311,0.4227,0.87961,0.000562037,0.000562037,0.000562037
117,143.833,0.47645,0.50004,0.85166,0.93341,1,0.995,0.86469,0.60427,0.4151,0.85914,0.000559681,0.000559681,0.000559681
118,145.024,0.46371,0.46509,0.8418,0.92621,1,0.995,0.85919,0.61717,0.40809,0.86465,0.000557325,0.000557325,0.000557325
119,146.233,0.4468,0.46784,0.83535,0.9231,1,0.995,0.85126,0.66192,0.42618,0.87413,0.000554968,0.000554968,0.000554968
120,147.41,0.44883,0.47252,0.83941,0.93302,1,0.995,0.84908,0.65226,0.42813,0.85982,0.000552612,0.000552612,0.000552612
121,148.578,0.45521,0.47176,0.84611,0.92729,1,0.995,0.84911,0.65488,0.43626,0.86435,0.000550256,0.000550256,0.000550256
122,149.762,0.48587,0.49336,0.86069,0.89993,1,0.995,0.84669,0.67506,0.46057,0.87286,0.0005479,0.0005479,0.0005479
123,150.928,0.45512,0.47104,0.83497,0.95898,0.93313,0.995,0.85915,0.65309,0.47465,0.87379,0.000545544,0.000545544,0.000545544
124,152.073,0.44692,0.47657,0.83788,0.97199,0.92608,0.995,0.8418,0.65749,0.47075,0.88857,0.000543187,0.000543187,0.000543187
125,153.239,0.44389,0.477,0.839,0.9789,0.92436,0.995,0.83729,0.66496,0.47077,0.89023,0.000540831,0.000540831,0.000540831
126,154.39,0.4664,0.47262,0.84222,0.97739,0.92586,0.995,0.83729,0.65486,0.46487,0.884,0.000538475,0.000538475,0.000538475
127,155.574,0.44162,0.45716,0.83814,0.97607,0.92583,0.995,0.84834,0.64983,0.46393,0.8712,0.000536119,0.000536119,0.000536119
128,156.728,0.43746,0.46172,0.84721,0.97437,0.92472,0.995,0.85765,0.66459,0.44864,0.8668,0.000533763,0.000533763,0.000533763
129,157.885,0.45769,0.46876,0.83371,0.97154,0.92447,0.995,0.85773,0.65049,0.44244,0.86309,0.000531406,0.000531406,0.000531406
130,159.05,0.45284,0.4697,0.84286,0.96959,0.92473,0.995,0.86085,0.62578,0.43508,0.86763,0.00052905,0.00052905,0.00052905
131,160.266,0.45607,0.47654,0.84413,0.96931,0.92528,0.995,0.85463,0.63003,0.43835,0.87303,0.000526694,0.000526694,0.000526694
132,161.429,0.43618,0.45728,0.83661,0.97125,0.92603,0.995,0.87393,0.61734,0.4267,0.87401,0.000524338,0.000524338,0.000524338
133,162.625,0.43398,0.45187,0.83979,0.97321,0.92894,0.995,0.88028,0.57932,0.41643,0.87359,0.000521982,0.000521982,0.000521982
134,163.78,0.47084,0.47004,0.8485,0.96437,0.93603,0.995,0.87303,0.57532,0.41721,0.87242,0.000519625,0.000519625,0.000519625
135,164.953,0.4055,0.43978,0.8376,0.95838,0.94447,0.995,0.88229,0.60257,0.42177,0.874,0.000517269,0.000517269,0.000517269
136,166.186,0.44623,0.45891,0.83973,0.95991,0.94263,0.995,0.86682,0.59427,0.4159,0.87334,0.000514913,0.000514913,0.000514913
137,167.421,0.42549,0.44587,0.83418,0.95111,0.94938,0.995,0.86984,0.59704,0.42055,0.87502,0.000512557,0.000512557,0.000512557
138,168.604,0.44501,0.4595,0.85615,0.95389,0.9562,0.995,0.85642,0.61682,0.4118,0.87337,0.000510201,0.000510201,0.000510201
139,169.769,0.42663,0.44628,0.83759,0.95477,0.95842,0.995,0.85338,0.63092,0.41394,0.8723,0.000507844,0.000507844,0.000507844
140,171.014,0.43207,0.46138,0.83577,0.94247,0.96841,0.995,0.84503,0.64717,0.41923,0.8936,0.000505488,0.000505488,0.000505488
141,172.291,0.42005,0.43276,0.83249,0.93581,0.993,0.995,0.85443,0.6489,0.41872,0.90085,0.000503132,0.000503132,0.000503132
142,173.497,0.43983,0.446,0.83465,0.94496,1,0.995,0.85747,0.62708,0.41355,0.87998,0.000500776,0.000500776,0.000500776
143,174.664,0.42481,0.4362,0.8364,0.94134,1,0.995,0.86985,0.61719,0.41414,0.86645,0.00049842,0.00049842,0.00049842
144,175.848,0.43436,0.44703,0.84391,0.92221,1,0.995,0.86656,0.6368,0.43579,0.86979,0.000496063,0.000496063,0.000496063
145,177.062,0.4262,0.44833,0.82531,0.89973,1,0.995,0.85022,0.66163,0.44799,0.89608,0.000493707,0.000493707,0.000493707
146,178.231,0.4331,0.44618,0.83752,0.89726,1,0.995,0.85607,0.64713,0.43733,0.88682,0.000491351,0.000491351,0.000491351
147,179.444,0.43078,0.44432,0.84939,0.90081,1,0.995,0.83432,0.63996,0.42645,0.87439,0.000488995,0.000488995,0.000488995
148,180.641,0.43866,0.42633,0.83206,0.92088,0.99567,0.995,0.85433,0.6337,0.41431,0.87429,0.000486639,0.000486639,0.000486639
149,181.825,0.41536,0.41675,0.81878,0.92363,0.98639,0.995,0.86055,0.63985,0.42201,0.88919,0.000484282,0.000484282,0.000484282
150,183.024,0.41605,0.42968,0.83451,0.92419,0.98863,0.995,0.85657,0.64758,0.424,0.893,0.000481926,0.000481926,0.000481926
151,184.176,0.42027,0.43468,0.84137,0.9188,1,0.995,0.87204,0.63377,0.40859,0.88176,0.00047957,0.00047957,0.00047957
152,185.341,0.41819,0.44095,0.8345,0.92513,0.98683,0.995,0.86371,0.6333,0.39909,0.87894,0.000477214,0.000477214,0.000477214
153,186.502,0.38955,0.42845,0.82343,0.95556,0.96899,0.995,0.88401,0.63361,0.41397,0.88544,0.000474858,0.000474858,0.000474858
154,187.666,0.40432,0.43062,0.82989,0.96115,0.97524,0.995,0.88411,0.61855,0.39647,0.8829,0.000472501,0.000472501,0.000472501
155,188.825,0.40825,0.42957,0.82282,0.96285,0.98766,0.995,0.88897,0.60884,0.39468,0.87524,0.000470145,0.000470145,0.000470145
156,189.987,0.43003,0.43246,0.84052,0.96525,0.99745,0.995,0.87541,0.60939,0.38906,0.87643,0.000467789,0.000467789,0.000467789
157,191.148,0.41869,0.44246,0.84149,0.96371,1,0.995,0.86297,0.62048,0.3891,0.88446,0.000465433,0.000465433,0.000465433
